GPU 0: NVIDIA A100-SXM4-40GB (UUID: GPU-e3883126-d41d-c007-e678-7574858270e2)
host gpuhost015.jc.rl.ac.uk | CUDA ok | Mon 10 Aug 20:00:56 BST 2026
args: /home/users/dv321/miniforge3/envs/nowcast/bin/python /home/users/dv321/dissertation/Code/3 - Diffusion stage/evaluate_diffusion.py --churn 0.0 --guidance 1.0 --members 8 --steps 50 --limit 3000 --seed 0 --out /home/users/dv321/dissertation_outputs/hpo/sampler/eval --tag _trial_002_r0 --ckpt /home/users/dv321/dissertation_outputs/diffusion_ml_v2/ckpt_ep050.pt --vae /home/users/dv321/dissertation_outputs/vae_v2/vae_ep17.pt --latents-dir /work/scratch-nopw2/dv321/dissertation/latents_ml_ep17 --split val --lead 60 --batch 16
  2656/3000 crops | 0.79 crops/s | eta 7 min
  2672/3000 crops | 0.79 crops/s | eta 7 min
  2688/3000 crops | 0.79 crops/s | eta 7 min
  2704/3000 crops | 0.79 crops/s | eta 6 min
  2720/3000 crops | 0.79 crops/s | eta 6 min
  2736/3000 crops | 0.79 crops/s | eta 6 min
  2752/3000 crops | 0.79 crops/s | eta 5 min
  2768/3000 crops | 0.79 crops/s | eta 5 min
  2784/3000 crops | 0.79 crops/s | eta 5 min
  2800/3000 crops | 0.79 crops/s | eta 4 min
  2816/3000 crops | 0.79 crops/s | eta 4 min
  2832/3000 crops | 0.79 crops/s | eta 4 min
  2848/3000 crops | 0.79 crops/s | eta 3 min
  2864/3000 crops | 0.79 crops/s | eta 3 min
  2880/3000 crops | 0.79 crops/s | eta 3 min
  2896/3000 crops | 0.79 crops/s | eta 2 min
  2912/3000 crops | 0.79 crops/s | eta 2 min
  2928/3000 crops | 0.79 crops/s | eta 2 min
  2944/3000 crops | 0.79 crops/s | eta 1 min
  2960/3000 crops | 0.79 crops/s | eta 1 min
  2976/3000 crops | 0.79 crops/s | eta 1 min
  2992/3000 crops | 0.79 crops/s | eta 0 min
  3000/3000 crops | 0.79 crops/s | eta 0 min

=== val split, 3000 crops, 8 members ===
  model_mean     MAE 0.273 | RMSE 0.883 | CSI@1 0.407 | CSI@8 0.080
  model_member   MAE 0.328 | RMSE 1.149 | CSI@1 0.325 | CSI@8 0.065
  advection      MAE 0.323 | RMSE 1.129 | CSI@1 0.326 | CSI@8 0.040
  persistence    MAE 0.379 | RMSE 1.261 | CSI@1 0.246 | CSI@8 0.050
  CRPS (fair)    0.1690  (advection MAE 0.323)
  spread/RMSE    0.892 | outliers 0.291 (ideal 0.222)
  PSD 2-8 km     band power 0.893 (mean-of-ratios 0.828) | advection 0.747 / 0.610, member field, 200 crops
plots -> /home/users/dv321/dissertation_outputs/hpo/sampler/eval/diffusion_eval_trial_002_r0.png
tables -> /home/users/dv321/dissertation_outputs/hpo/sampler/eval/diffusion_eval_trial_002_r0.md

done in 63.2 min
