arm,lead,method,threshold_mmh,scale_km,fss
CorrDiff,45,model_m0,1,1,0.553854
CorrDiff,45,model_m0,1,5,0.688955
CorrDiff,45,model_m0,1,11,0.772855
CorrDiff,45,model_m0,1,21,0.845385
CorrDiff,45,model_m0,1,51,0.926610
CorrDiff,45,model_m0,1,101,0.965481
CorrDiff,45,model_m0,2,1,0.436498
CorrDiff,45,model_m0,2,5,0.590008
CorrDiff,45,model_m0,2,11,0.689814
CorrDiff,45,model_m0,2,21,0.779681
CorrDiff,45,model_m0,2,51,0.887196
CorrDiff,45,model_m0,2,101,0.942961
CorrDiff,45,model_m0,4,1,0.308227
CorrDiff,45,model_m0,4,5,0.468235
CorrDiff,45,model_m0,4,11,0.580845
CorrDiff,45,model_m0,4,21,0.690738
CorrDiff,45,model_m0,4,51,0.828579
CorrDiff,45,model_m0,4,101,0.898737
CorrDiff,45,model_m0,8,1,0.190452
CorrDiff,45,model_m0,8,5,0.320770
CorrDiff,45,model_m0,8,11,0.436599
CorrDiff,45,model_m0,8,21,0.576144
CorrDiff,45,model_m0,8,51,0.747847
CorrDiff,45,model_m0,8,101,0.822240
CorrDiff,45,model_mean,0.5,1,0.695396
CorrDiff,45,model_mean,0.5,5,0.797946
CorrDiff,45,model_mean,0.5,11,0.852742
CorrDiff,45,model_mean,0.5,21,0.895795
CorrDiff,45,model_mean,0.5,51,0.941345
CorrDiff,45,model_mean,0.5,101,0.963304
CorrDiff,45,model_mean,1,1,0.638793
CorrDiff,45,model_mean,1,5,0.758621
CorrDiff,45,model_mean,1,11,0.823905
CorrDiff,45,model_mean,1,21,0.876609
CorrDiff,45,model_mean,1,51,0.934008
CorrDiff,45,model_mean,1,101,0.961946
CorrDiff,45,model_mean,2,1,0.533861
CorrDiff,45,model_mean,2,5,0.679182
CorrDiff,45,model_mean,2,11,0.760527
CorrDiff,45,model_mean,2,21,0.828399
CorrDiff,45,model_mean,2,51,0.905451
CorrDiff,45,model_mean,2,101,0.943669
CorrDiff,45,model_mean,4,1,0.395231
CorrDiff,45,model_mean,4,5,0.557088
CorrDiff,45,model_mean,4,11,0.652118
CorrDiff,45,model_mean,4,21,0.737862
CorrDiff,45,model_mean,4,51,0.837896
CorrDiff,45,model_mean,4,101,0.884498
CorrDiff,45,model_mean,8,1,0.257090
CorrDiff,45,model_mean,8,5,0.392639
CorrDiff,45,model_mean,8,11,0.492027
CorrDiff,45,model_mean,8,21,0.603228
CorrDiff,45,model_mean,8,51,0.734306
CorrDiff,45,model_mean,8,101,0.779945
CorrDiff,45,persistence,0.5,1,0.514963
CorrDiff,45,persistence,0.5,5,0.611022
CorrDiff,45,persistence,0.5,11,0.679737
CorrDiff,45,persistence,0.5,21,0.754264
CorrDiff,45,persistence,0.5,51,0.867189
CorrDiff,45,persistence,0.5,101,0.930141
CorrDiff,45,persistence,1,1,0.433598
CorrDiff,45,persistence,1,5,0.539783
CorrDiff,45,persistence,1,11,0.617280
CorrDiff,45,persistence,1,21,0.703205
CorrDiff,45,persistence,1,51,0.836241
CorrDiff,45,persistence,1,101,0.912362
CorrDiff,45,persistence,2,1,0.322428
CorrDiff,45,persistence,2,5,0.431153
CorrDiff,45,persistence,2,11,0.513422
CorrDiff,45,persistence,2,21,0.609112
CorrDiff,45,persistence,2,51,0.769506
CorrDiff,45,persistence,2,101,0.873773
CorrDiff,45,persistence,4,1,0.213421
CorrDiff,45,persistence,4,5,0.305642
CorrDiff,45,persistence,4,11,0.378983
CorrDiff,45,persistence,4,21,0.475456
CorrDiff,45,persistence,4,51,0.654688
CorrDiff,45,persistence,4,101,0.793339
CorrDiff,45,persistence,8,1,0.141942
CorrDiff,45,persistence,8,5,0.195833
CorrDiff,45,persistence,8,11,0.248866
CorrDiff,45,persistence,8,21,0.345504
CorrDiff,45,persistence,8,51,0.542938
CorrDiff,45,persistence,8,101,0.707236
CorrDiff,60,advection,0.5,1,0.578175
CorrDiff,60,advection,0.5,5,0.683232
CorrDiff,60,advection,0.5,11,0.753073
CorrDiff,60,advection,0.5,21,0.815624
CorrDiff,60,advection,0.5,51,0.893454
CorrDiff,60,advection,0.5,101,0.939257
CorrDiff,60,advection,1,1,0.490980
CorrDiff,60,advection,1,5,0.612174
CorrDiff,60,advection,1,11,0.695712
CorrDiff,60,advection,1,21,0.771734
CorrDiff,60,advection,1,51,0.867033
CorrDiff,60,advection,1,101,0.922813
CorrDiff,60,advection,2,1,0.362214
CorrDiff,60,advection,2,5,0.497832
CorrDiff,60,advection,2,11,0.597080
CorrDiff,60,advection,2,21,0.688930
CorrDiff,60,advection,2,51,0.807703
CorrDiff,60,advection,2,101,0.882343
CorrDiff,60,advection,4,1,0.223304
CorrDiff,60,advection,4,5,0.363215
CorrDiff,60,advection,4,11,0.476833
CorrDiff,60,advection,4,21,0.585793
CorrDiff,60,advection,4,51,0.729232
CorrDiff,60,advection,4,101,0.820660
CorrDiff,60,advection,8,1,0.093206
CorrDiff,60,advection,8,5,0.181418
CorrDiff,60,advection,8,11,0.276402
CorrDiff,60,advection,8,21,0.394595
CorrDiff,60,advection,8,51,0.571105
CorrDiff,60,advection,8,101,0.681693
CorrDiff,60,model_m0,0.5,1,0.591682
CorrDiff,60,model_m0,0.5,5,0.702245
CorrDiff,60,model_m0,0.5,11,0.774152
CorrDiff,60,model_m0,0.5,21,0.840225
CorrDiff,60,model_m0,0.5,51,0.919126
CorrDiff,60,model_m0,0.5,101,0.960418
CorrDiff,60,model_m0,1,1,0.509102
CorrDiff,60,model_m0,1,5,0.636040
CorrDiff,60,model_m0,1,11,0.720484
CorrDiff,60,model_m0,1,21,0.799773
CorrDiff,60,model_m0,1,51,0.896554
CorrDiff,60,model_m0,1,101,0.948178
CorrDiff,60,model_m0,2,1,0.389632
CorrDiff,60,model_m0,2,5,0.529081
CorrDiff,60,model_m0,2,11,0.626105
CorrDiff,60,model_m0,2,21,0.720636
CorrDiff,60,model_m0,2,51,0.844964
CorrDiff,60,model_m0,2,101,0.916656
CorrDiff,60,model_m0,4,1,0.268490
CorrDiff,60,model_m0,4,5,0.408410
CorrDiff,60,model_m0,4,11,0.511691
CorrDiff,60,model_m0,4,21,0.620865
CorrDiff,60,model_m0,4,51,0.770957
